image_path,target,label_str,split,source_dataset,product_type,anomaly_score,threshold,pred,is_false_negative,is_false_positive,filename,filename_index,margin_below_threshold,review_priority,likely_inference_from_metadata
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (250).jpg,1,defect,test,D1,tyre,12.137679785506592,12.147390651173238,0,1,0,Defective (250).jpg,250,0.009710865666646029,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (615).jpg,1,defect,test,D1,tyre,12.057855044731502,12.147390651173238,0,1,0,Defective (615).jpg,615,0.08953560644173564,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (26).jpg,1,defect,test,D1,tyre,12.045614712035697,12.147390651173238,0,1,0,Defective (26).jpg,26,0.10177593913754102,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (340).jpg,1,defect,test,D1,tyre,12.03633290880356,12.147390651173238,0,1,0,Defective (340).jpg,340,0.11105774236967747,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (641).jpg,1,defect,test,D1,tyre,12.035999932280737,12.147390651173238,0,1,0,Defective (641).jpg,641,0.11139071889250118,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (129).jpg,1,defect,test,D1,tyre,11.979738233308636,12.147390651173238,0,1,0,Defective (129).jpg,129,0.16765241786460194,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (794).jpg,1,defect,test,D1,tyre,11.96162594854945,12.147390651173238,0,1,0,Defective (794).jpg,794,0.18576470262378741,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (609).jpg,1,defect,test,D1,tyre,11.944272367334287,12.147390651173238,0,1,0,Defective (609).jpg,609,0.20311828383895048,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (705).jpg,1,defect,test,D1,tyre,11.934352568878024,12.147390651173238,0,1,0,Defective (705).jpg,705,0.21303808229521337,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (440).jpg,1,defect,test,D1,tyre,11.918025926795748,12.147390651173238,0,1,0,Defective (440).jpg,440,0.2293647243774899,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (198).jpg,1,defect,test,D1,tyre,11.847138084047913,12.147390651173238,0,1,0,Defective (198).jpg,198,0.3002525671253249,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
/Users/ritik/Documents/Project TDA/TyreVisionX/data/raw/defect/Defective (302).jpg,1,defect,test,D1,tyre,11.80781153436401,12.147390651173238,0,1,0,Defective (302).jpg,302,0.3395791168092277,near_threshold,"Filename metadata only confirms defect class; visual inspection required to determine if cracks are small, low contrast, edge-located, or label-questionable."
